date,net_value,return,drawdown
20231219,1.6348437,-0.011136711,0.05320251
20231220,1.6348437,0.0,0.05320251
20231221,1.6622897,0.016788125,0.03730756
20231222,1.6418848,-0.012275219,0.049124777
20231225,1.6418848,0.0,0.049124777
20231226,1.6544371,0.007645011,0.041855335
20231227,1.6539687,-0.00028312206,0.042126536
20231228,1.6557105,0.0010530949,0.041117847
20231229,1.6670947,0.0068757534,0.0345248
20240102,1.6406311,-0.015874088,0.04985088
20240103,1.6353241,-0.0032346845,0.052924335
20240104,1.632397,-0.0017899275,0.05461949
20240105,1.60665,-0.015772521,0.06953055
20240108,1.5845878,-0.013731778,0.08230758
20240109,1.5562161,-0.017904758,0.09873861
20240110,1.5837837,0.0177145,0.08277321
20240111,1.6671895,0.052662373,0.034469903
20240112,1.6297228,-0.022472918,0.0561682
20240115,1.6028507,-0.01648879,0.07173085
20240116,1.5839717,-0.011778355,0.08266437
20240117,1.5673754,-0.010477662,0.09227586
20240118,1.5811913,0.0088146925,0.08427459
20240119,1.5575403,-0.014957726,0.09797174
20240122,1.5405248,-0.010924578,0.107826054
20240123,1.7423534,0.13101292,0.0
20240124,1.744834,0.0014235973,0.0
20240125,1.8261195,0.046586394,0.0
20240126,1.877455,0.028111815,0.0
20240129,1.7541647,-0.06566882,0.06566882
20240130,1.7030177,-0.02915746,0.09291154
20240131,1.73626,0.019519687,0.075205505
20240201,1.7636203,0.015758157,0.060632467
20240202,1.7807865,0.009733558,0.051489115
20240205,1.6754744,-0.059138,0.10758209
20240206,1.6743523,-0.0006697178,0.10817981
20240207,1.6740601,-0.0001745224,0.108335435
20240208,1.7620637,0.05256903,0.06146151
20240219,1.9396753,0.100797534,0.0
20240220,2.1396656,0.10310507,0.0
20240221,2.3790755,0.11189127,0.0
20240222,2.4203641,0.017354846,0.0
20240223,2.5104337,0.037213206,0.0
20240226,2.6381931,0.0508914,0.0
20240227,2.5310712,-0.040604293,0.040604293
20240228,2.4330032,-0.03874564,0.07777667
20240229,2.4762356,0.017769217,0.061389565
20240301,2.447407,-0.011642098,0.072316945
20240304,2.412815,-0.014134109,0.08542895
